Questions,Category1
How long did the longest war last, max
What is the highest number of seasons for a tv series ever aired, max
what is the highest number of push ups done at a stretch ever recorded,max
What is the most push ups done in 30 seconds?,max
what is the average time for holding breath, avg
What is the maximum extra time given in a football match,max
What is the minimum extra time given in a football match,min
What is the average extra time given in a football match,avg
What is the fastest checkmate in international chess,min
What is the maximum g force experienced on a rollercoaster,max
What is the highest bounty placed on someone by the FBI,max
Which is the longest prime number currently made public,max
What is the length of the shortest mathematical proof published in terms of number of characters,min
What is the highest distance from which a person survived a fall?
What is the average number of injuries reported during a Juventus match,avg
What is the maximum number of Naruto clones to be seen on screen during season 3,max
What is the maximum time interval Chandler has spent without making a sarcastic comment on screen,max
 What was the maximum number of oreo shake swiggy deliveries made on a day,max
What is the maximum no of goals scored by a team in a Champions League football match,max
Find the average number of sixes dhoni hits in a match,avg
What is the average tuition rates in kerala,avg
What is the highest salary you can get for teaching math,max
What is the average no of goal assists by Messi,avg
What is the maximum no of substitutes allowed in World Cup match,max
What is the minimum salary of a teacher,min
What is the maximum time taken to solve a math problem,max
What is the highest even number among  five digit numbers,max
What is the minimum height of a tree,min
What is the most money spent by a political party in an election campaign in India,max
What is the highest height of a person,max
What is the minimum length of a door,min
What is the average time taken to finish a novel,avg
What is the maximum length of a saree,max
What is the minimum length of a book,min
What is the most number of albums sold by a music artist,max
What is the maximum salary of a doctor,max
What is the average lifespan of RCC structures,avg

What is the maximum speed limit in a Formula I race,max
What is the average height of men in Afghanistan,avg
What is the average life expectancy of a golden retriever,avg
On an average how long does a German Shepherd dog live,avg
What is the average age difference between and indian husband and wife,avg
What is the mean GPA of all the students of CET,avg


What is the maximum runs a person can score off a ball in a cricket match,max
What is the highest mark scored in JEE ADVANCED 2019,max
What is the average death toll in Afghanistan,avg
What is the mean distance between the Earth and the moon,avg
What is the maximum number of days a cow can survive without food,max
What is the minimum age for drinking alcohol legally in Ireland,min
What is the maximum age till which you can work as a gov employee in Finland,max
What is the average age of a blue whale,avg
How much will it cost on an average to buy a house in mumbai,avg
What is the average cost of having a vacation in spain,avg
Find the rate of the costliest flight from USA to UK,max
What is the average time for complete meiosis,avg
What is the highest IQ ever recorded,max
What is the maximum point a player can score in a basketball match,max
What is the maximum no of players a player can dribble pass in a football match,max
What is the length of the longest tunnel,max
What is the most degrees earned by a single person,max
What is the highest denomination of currency ever recorded,max
What is the average runtime of movies in bollywood,avg
What is the longest time recorded by an astronaut in ISS,max
What is the longest gestation period recorded by an animal,max
What is the minimum age to become the president of India,min
Find the weight of the heaviest car from the table,max
How much high can a man jump,max
Longest time a man can stay underwater, max
What is the minimum age to become the prime minister of India,min
What is the maximum number of days in a month,max
What is the highest view count on youtube, max
What is the length of the longest film ever made, max
What is the shortest time taken for 100 push ups, min
What is the average monthly income in Brazil,avg
Which employee has taken the most number of leaves in april,max
Which fortune500company has the least number of employees,min
What is the average number of employees in a fortune500 company,avg


What is the average life expectancy of Keralites,avg
What is the highest number of civil cases recorded in a year in India,max
What is the average age of Prime ministers in India,avg
How much did the highest grossing game generate,max

What is the shortest time taken for solving rubik’s cube, min
What is the average lifespan of RBC,avg
What is the highest body temperature ever recorded, max
What is the average life span of coronavirus on metals,avg
What is the highest body fat percentage ever recorded, max

What is the average weight of male babies,avg
What is the most number of human babies in a single pregnancy,max
What is the maximum number of days a camel can survive without water,max
How long can a person survive with 10% oxygen in a standard cylinder,max
What is the average duration of a 20 over cricket match,avg
What is the youngest age of an olympic gold medalist,min
What is the length of the shortest NH in India,min
What is the highest number of hits the wikipedia website has received in a day,max

What is the average number of hits received by the wikipedia webpage per day,avg
Which state in india has the highest population,max
Which country in asia has the highest gdp,max
Search for the highest lifespan of mosquitoes in India, max
What is the maximum allowed age of a Supreme court judge,max
What is the average lifespan of a butterfly,avg
Find the mean age of expatriate males having stomach cancer,avg
What is the highest salary an average gardener can get?,max
What is the lowest value of Rupee vs Dollar recorded in 2019,min
What is the average thickness of lithosphere,avg
What is length of the smallest river in the world, min
What is the average spending of India on infrastructure,avg
What is the minimum width of a domestic stairway,min
What is the average IQ of males in India,avg
Which is the gender having most death rate in 2011,max
What is the highest casualty number recorded in WWII,max
What is the highest GDP recorded by India in a financial year,max
What is the average usage time of instagram per day, avg
What is the highest valuation ever recorded for a company,max
What is the average life expectancy of Turtles, avg
What is the average number of blinks per minute,avg
What is the average KEAM score in 2019,avg
What is the average lifespan of African Elephants,avg
What is the highest death rate in India in the last 5 years,max
Find the average age of death from COVID-19 in USA,avg
Find out the average battery life of iphones,avg
What is average income of people in India in FY 2019-20,avg
Which state has highest literacy rate in India as of last year,max
What is the highest budget for movies ever, max
What is the highest price of a laptop, max
What is the lowest price for iphone,min
Who has the highest iq in the world ever, max
Which country has the highest gdp in 2019, max
Which country has the highest population,max
Which state in india has the highest literacy rate,max
Find the district in kerala having most number of movie theatres, max
Which is the most expensive watch in the world, max
Who directed the highest grossing film in the world, max
Which country has the highest GDP in FY 2019-20,max
what is the least grossing marvel movie, min
Which book has the highest number of pages, max
Which is the longest movie ever made, max
What is the average number of hollywood movies released in a year, avg
Which country has the highest population density, max
Which is the tallest building in India, max
Which is the largest ocean, max
What is the maximum area of a country in Asia, max
What is the maximum area of a country in the world, max
What is the diameter of the largest planet in the solar system,max
What is the mean diameter of the planets in the solar system,avg
Which is the smallest state in USA,min
Which is the smallest state in India, min
Which is the largest state in USA,max
