,questions,types
95,What is Australia's role in the UN operation Unama?,0
96,"What is the UN operation title with the UN operation name, Uncok?",0
97,How many Australians were in the UN commission on Korea?,3
98,When was it where 65 Australians were involved in the UN?,0
99,What year is the season with the 10.73 million views?,0
100,What is the season year where the rank is 39?,0
101,What is the number of season premieres were 10.17 people watched?,3
102,What is the year of the season that was 12?,0
103,In 2012 what was the average finish?,0
104,How many wins happened in 1983?,2
105,How many top tens had an average start of 29.4?,3
106,How many poles had an average finish of 19.1?,1
107,How many starts did Hendrick motorsports have?,2
108,NHL players are all centre in Florida panthers.,0
109,NHL team player San Jose Sharks is United States nationally.,0
110,All players are position mark polak.,0
111,Position in nhl team centre are all smaller pick than 243.0,0
112,What college/junior/club teams do the players from the St. Louis Blues come from?,0
113,What teams do the players from TPS (Finland) play for?,0
114,What high school team did Doug Nolan play for?,0
115,What club team is Per Gustafsson play for?,0
116,What is the nationality of Shayne Wright?,0
117,How many votes did Southern England cast whilst Northern Ireland cast 3?,0
118,What was the lowest number of votes Scotland cast?,2
119,What is the total number of votes if Scotland cast 35?,3
120,How many votes did Northern Ireland cast if the total was 35?,0
121,How many votes did Wales cast when Northern England cast 6?,2
122,What teams had 9 in the top 5 and 1 wins?,0
123,What teams did the player vadim sharifijanov play for?,0
124,What positions do the hartford whalers nhl team have?,0
125,"What is the smallest pick for the player, brett lindros?",2
126,"What positions does the college/junior/club team, molot perm (russia) have?",0
127,The nhl team new york islanders is what nationality?,0
128,What is the name of the vacator for district Louisiana 1st?,0
129,What is the notion when the crystal structure is tetragonal and the formula is bi 2 sr 2 cacu 2 o 8,0
130,How many times is the formula tl 2 ba 2 cuo 6?,0
131,What is the crystal structure for the formula yba 2 cu 3 o 7?,0
132,What is the number for t c (k) when the notation is tl-2212?,3
133,How many 2010 estimations have been done in the city of Cremona?,3
134,What's the 2001 census of the region of Abruzzo where the 1871 census is bigger than 51092.0?,2
135,What's the 1991 census of the city of Carpi?,1
136,How many 2001 censuses are there on number 13?,3
137,What's the 1981 census of Livorno?,0
138,Which NHL team has player Mike Loach?,0
139,What is the NHL team that has Peter Strom?,0
140,What team is Keith Mccambridge on?,0
141,How many nationalities are the pick 193?,3
142,"Who was the succesor that was formally installed on November 8, 1978?",0
143,How many songs received a 10 from Goodman and were rated by Tonioli?,3
144,"What score did Goodman give to all songs with safe results, which received a 7 from Horwood and have a total score of 31?",0
145,"What score did Dixon give to the song ""samba / young hearts run free"", which was in second place?",0
146,"How many scores did Goodman give to ""samba / young hearts run free"", which was in second place?",3
147,What year was number 7 built?,0
148,What is we two when the case/suffix is loc.?,0
149,What is them two (the two) when we two is ngalbelpa?,0
150,What is them two (the two) when you and i is ngœbalngu?,0
151,What is who-two where you and i is ngœban?,0
152,What is we two where you two is ngipen?,0
153,What is who-two when you two is ngipelngu?,0
154,what's the points with driver  mark martin,0
155,what's the points with driver  rusty wallace,0
156,what's the total number of position with driver  robby gordon,3
157,"what's the maximum position with winnings  $50,000",1
158,What actor was nominted for an award in the film Anastasiya Slutskaya?,0
159,What was the film Falling up nominated for?,0
160,What is the name of the actress that was nominated for best actress in a leading role in the film Chopin: Desire for love?,0
161,What is the name of the actress that was nominated for best actress in a leading role in the film Chopin: Desire for love?,0
162,Which films does the actor Alla Sergiyko star in?,0
163,Which nominations was the film 27 Stolen Kisses nominated for?,0
164,Which actor from Serbia was nominated for best actor in a supporting role?,0
165,Vsevolod Shilovskiy is from what country?,0
166,Which nominations are connected to the film Totalitarian Romance?,0
167,Srdjan Dragojevic worked on a film which earned what nomination?,0
168,Which actors are from Ukraine?,0
169,What was the film that vadim ilyenko directed?,0
170,What was the actors name that vadim ilyenko directed?,0
171,What was the actors name for fuchzhou and nomination was best non-professional actor?,0
172,What film did michaylo ilyenko make with best actor in a supporting role?,0
173,What was the actor's name for best debut?,0
174,What was the number of nominations for natalia raskokoha?,3
175,What is the highest value of Total Goals?,1
176,When FA Cup Apps is 9 what is the smallest number of FA Cup Goals?,2
177,What is the smallest number of Total Goals?,2
178,What circuit was the race where Hideki Mutoh had the fastest lap?,0
179,"what is the minimum production code with title ""foreign exchange problem / turn about""",2
180,"what is the episode # for title ""the yindianapolis 500 / personality problem""",0
181,what is the episode # for production code 227,0
182,who directed the movie written by is sib ventress / aydrea ten bosch,0
183,"what is the production code with title ""skirting the issue / moon over my yinnie""",0
184,Whatis the number of total goals maximum?,1
185,HOW MANY TEMPERATURE INTERVALS ARE POSSIBLE TO USE WITH ACRYL? ,3
186,How many matches where played with Jim Pugh?,3
187,What is the score with partner Jim Pugh?,0
188,"How many matched scored 3–6, 7–6(5), 6–3?",3
189,What is the score of the match with partner Jim Pugh?,0
190,What year was the championship in Wimbledon (2)?,0
191,What is the score of the match with opponents Gretchen Magers Kelly Jones?,0
192,How many birthdays does Earl Hanley Beshlin have?,3
193,"Which politican party has a birthday of November 10, 1880",0
194,"Which representative has a birthday of January 31, 1866?",0
195,What is the Singles W-L for the players named  Laurynas Grigelis?,0
196,What is the Current singles ranking for the player named Mantas Bugailiškis?,0
197,How many playerd Mrs. Darling in the 1999 Broadway?,3
198,Who played Peter Pan in the 1990 Broadway?,0
199,Who played in the 1991 Broadway before Barbara McCulloh played the part in the 1999 Broadway?,0
200,Who played in the 1990 Broadway after Tom Halloran played the character in the 1955 Broadcast?,0
201,What character did Drake English play in the 1998 Broadway?,0
202,What date was BBC One total viewing greater then 11616996.338225884?,0
203,How many years did BBC One rank 20th?,3
204,"What year was the BBC two total viewing 7,530,000?",2
205, how many ↓ function / genus → with escherichia being espd,3
206,what's the salmonella with escherichia being espd,0
207,what's the ↓ function / genus → with shigella being spa32,0
208,what's the salmonella with shigella being ipgc,0
209,what's the salmonella with escherichia being sepb (escn),0
210,what's the shigella with yersinia being yscp,0
211,How many original titles did Marriage Italian-Style have? ,3
212,What year was a movie with the original title La Leggenda del Santo Bevitore submitted?,0
213,"what's the camp with estimated deaths of 600,000",0
214,what's the operational period with camp  sajmište,0
215,what's the estimated deaths with operational period of 17 march 1942 – end of june 1943,0
216,what's the current country of location with operational period  of summer of 1941 to 28 june 1944,0
217,"what's the occupied territory with estimated deaths of 600,000",0
218,what's the occupied territory with operational period of may 1940 – january 1945,0
219,Which overall pick was traded to the Cleveland Browns?,0
220,Overall pick 240 was a pick in which round?,0
221,Which overall pick number went to college at Youngstown State?,2
222,What position is played by pick 255 overall?,0
223,Which player was chosen in round 17?,0
224,The record of 7-3 had the largest attendance of what?,1
225,The record of 9-4 was against which opponent?,0
226,The game number of 8 had a record of what?,0
227,What round was Steve Stonebreaker drafted?,1
228,Who was the top picki n the draft?,2
229,What round was Bill Hill drafted?,0
230,What was the name of the quarterback drafted?,0
231,Where is the college where Keith Hartwig plays?,0
232,What is the name of the linebacker at Illinois college?,0
233,What is the greatest round of overall 83?,1
234,Which round did Tommy Kramer play in>,0
235,What is Rice's collage score?,0
236,Where does the defensive back position appear first?,2
237,What is Bruce Cerone overall?,2
238,Which player went to Emporia State?,0
239,What is the highest choice?,1
240,What college did Bill Cappleman go to?,0
241,"For the headstamp id of h2, what was the color of the bullet tip?",0
242,"For the functional type of light ball, what were the other features?",0
243,How many primers annulus colors were there when the color of the bullet tip was white?,3
244,How many bullet tips colors had other features of a blue band on case base?,3
245,How many touchdowns were scored in the year with a completion percentage of 56.0?,2
246,What number of completions are recorded for the year with 12 games started?,0
247,How many years were there with 348 attempts?,3
248,How many characters is by Babs Rubenstein?,3
249,Which person is in the tronto/broadway and has a uk tour of n/a,0
250,How many people play Frank in London?,3
251,Who was Class AAA during the school year of 2000-01?,0
252,Who was Class AAA during the same year that Class A was (tie) Apple Springs/Texline?,0
253,Who was Class AAAAA during the school year of 1995-96?,0
254,Who was Class AAA during the same year that Class AAAAA was Brownsville Pace?,0
255,What was the total number of Class AAA during the same year that Class AAA was White Oak?,3
256,"How many records are listed on Friday, May 25?",3
257,"How many opponents were played on Saturday, June 9?",3
258,In what week was the first game played at the Commerzbank-Arena?,2
259,What was the original air date of an episode set in 1544?,0
260,How many settings where there for episode 29 of the season?,3
261,"Who wrote the episode that was set in winter 1541/february 13, 1542?",0
262,"What episode number of the season was ""The Northern Uprising""?",0
263,What is the name of the track that lasts 5:30?,0
264,What is the album namethat has the track title Sweetness 甜甜的 (tián tián de)?,0
265,What is the duration of the song where the major instrument is the piano and the date is 2004-02-03?,0
266,What is the total number of lyricist where the lyrics theme is romance and the song lasts 3:50?,3
267,What is the major instrument of the song that lasts 4:32? ,0
268,What is the total number of music genre/style in which the lyrics are a detective story?,3
269,What is the playoffs for the usl pro select league?,0
270,What is the number of the division for the 1st round?,3
271,What was the team where series is formula renault 2.0 nec?,0
272,What is the total number of poles for arden international?,3
273,What is the number of wins for gp2 series for racing engineering?,3
274,What is the number of podiums for season 2010 for campionato italiano superstars.,3
275,What is the podium for 144 points?,0
276,"How many writers had an US air date of september 25, 1993?",3
277,How many villians were in No. 25?,3
278,"what being the maximum year where regular season is 4th, northwest",1
279,"what is the total number of playoffs where regular season is 6th, southwest",3
280,what is the maximum division,1
281," what's the league where regular season is 2nd, northwest",0
282,what are all the regular season where year is 2011,0
283,How many titles have the number 11,3
284,How many have Mrs. briar as a villain,3
285,how many have the number 8,3
286,"How many have the title ""the tale of the room for rent""",3
287,What is the name of the episode told by Kiki and directed by Will Dixon?,0
288,"Who is the storyteller in the episode called ""The Tale of the Jagged Sign""?",0
289,Who wrote Episode #3?,0
290,"Who are the villains in the episode titled ""The Tale of the Forever Game""?",0
291,"How many villains appeared in the episode titled ""The Tale of the Virtual Pets""?",3
292,Who are the villains in the episodes where Megan is the storyteller and Lorette LeBlanc is the director?,0
293,What is the largest # for an episode that was written by Allison Lea Bingeman?,1
294,Name the species when petal width is 2.0 and petal length is 4.9,0
295,Name the sepal width for i.virginica with petal length of 5.1,0
296,Name the number of species with sepal width of 3.4 and sepal length of 5.4,3
297,Name the sepal length for sepal width of 2.8 and petal length of 5.1,0
298,Name the sepal width when sepal length is 6.5 and petal width is 2.2,0
299,Name the sepal lengh when sepal width is 2.9 and petal width 1.3,0
300,Who is the director and what number is the episode for episode #1 of Are You Afraid of the Dark season 3?,3
301,Who is the director of the episode whom Scott Peters is the writer?,0
302,Who is the villain in episode #7?,0
303,Who wrote episode #1 in season 7?,3
304,When did the episode written by Jim Morris air?,0
305,What was Datsun Twin 200's fastest lap?,0
306,"In the Datsun Twin 200 race, what was the fastest lap?",0
307,What's the report for the True Value 500?,0
308,What was Johnny Rutherford's fastest lap while Al Unser was the pole position?,0
309,What's the report on Penske Racing winning while the pole position was Al Unser?,3
310,"Which countries have a scouting organization that was founded in 1926, and joined WOSM in 1930?",0
311,"Does Venezuela admit only boys, only girls, or both?",0
312,"Which organizations were founded in 1972, but became WOSM members until 1977?",0
313,"Does the Scout Association of Hong Kong admit boys, girls, or both?",0
314,"Does the Ghana Scout Association (founded in 1912) admit boys, girls, or both?",0
315,What is the model number introduced May 1999?,1
316,What is the print resolution (FPI) for December 2002?,0
317,What is the maximum memory for the model discontinued in November 2001?,0
318,What is main presenters of La Granja?,0
319,What is the main presenter of bulgaria?,0
320,How many winners are there of farma?,3
321,What is the most cup goals for seasson 1911-12?,1
322,What is the league apps for season 1923-24?,0
323,What is the team for season 1911-12?,0
324,what's the minimum attendance with score  10.16 (76) – 9.22 (76),2
325,who's the premier with in 1970,0
326,who are all the runner-up for premier in richmond,0
327,what is the minimum attendance with score 8.16 (64) – 8.12 (60),2
328,How many mileposts are there on Anne Street?,3
329,Which street is 12.2 miles long?,0
330,Where does Route 24 intersect?,0
331,Where is milepost 12.8?,0
332,What is the minimum amount for wool for 2001-02?,2
333,Who were the operational owners during the construction date of April 1892?,0
334,Where can you find Colorado and Southern Railway #9?,0
335,"What is the wheel arrangement for the train in Riverdale, Georgia?",0
336,When was the train 2053 built?,0
337,How many wheels does the train owned by Texas and New Orleans Railroad #319 have?,3
338,Which college has the men's nickname of the blazers?,0
339,Name the joined for the wolfpack women's nickname,0
340,Name the left of the Lady Pilots.,0
341,"Name the women's nickname when the enrollment is 1500 in mobile, Alabama.",0
342,"Which conference is in Jackson, Mississippi?",0
343,What is the men's nickname at the school that has the lady wildcats women's nickname?,0
344,"What is the Mens Nickname for the member location of Jacksonville, florida?",0
345,What is the enrollment for the institution that was founded in 1866 and is a private/(african methodist) type?,1
346,"That is the year founded for the institution location of Nashville, Tennessee?",2
347,What is the year the institution Tougaloo College joined?,0
348,What is the date of vacancy when the date of appointment is 28 november 2007 and replaced by is alex mcleish?,0
349,What is the date of appointment when the date of vacancy is 21 december 2007?,0
350,Who replaced when team is wigan athletic?,0
351,What is the date of vacancy when the team is manchester city and replaced by is mark hughes?,0
352,What is the date of appointment when replaced by is roy hodgson?,0
353,Who replaced when position in table is pre-season?,0
354,How many games had a score value of 813.5 in post-season play?,3
355,Did any team score games that totaled up to 860.5?,0
356,What was the score of the game when the team reached a record of 6-9?,0
357,What type institution is point park university,0
358,"How many institutions are located in wilmore, kentucky and private",1
359,point park university is what type of institution,0
360,how many founded dates are listed for carlow university 1,3
361,"Who wrote the episode titled ""black""?",0
362,"Who are the writers for the episode ""solo""?",0
363,what is the original air date of the episode no in season 9?,0
364,"What is the title of the episode written by denis leary, peter tolan and evan reilly?",0
365,"How many episodes were titles ""voicemail""?",3
366,When was Kamba active?,0
367,What was the cyclone's pressure in the storm that death was equal to 95km/h (60mph)?,0
368,What were the active dates for the storm that had 185km/h (115mph) deaths?,0
369,What was the damage (usd) from the cyclones that measured 1003hPa (29.62inHg) pressure?,0
370, what's the average where high score is 120,0
371, what's the player where 50 is 2 and n/o is 0,0
372, what's the player where inns is 21,0
373,Which general election had a pq majority and a 44.75% of the popular vote?,0
374,What is the least number of candidates running were there when 80 seats were won?,2
375,How many seats were won in the election with 125 candidates?,3
376,How many weeks are there?,1
377,How many people attended the game against the indianapolis colts?,3
378,"On december 16, 1985, all the records were what?",0
379,How many results are there for the 0-4 record?,3
380,"How many weeks are there that include the date October 11, 1969.",3
381,"How many weeks are there that include the date November 9, 1969.",3
382,How many records are there at the War Memorial Stadium?,3
383,"What was the minimum attendance on December 7, 1969?",2
384,What week corresponds to the last one to be played at the memorial stadium?,1
385,In which stadium is the week 5 game played?,0
386,In Penney's game what is the probability where the 1st player wins if the probability of a draw is 8.28% and the 2nd player chooses B BR?,0
387,"If the first player chooses RB B, what is the second player's choices?",0
388,What is the probability where the second player wins where their choice is R RB and the first player has a 5.18% chance of winning?,0
389,What are the chances the first player will win if the 2nd player has an 80.11% chance of winning with the choice of R RB?,0
390,What are the chances that player 2 wins if player 1's choice is BB R?,0
391,How high is the chance that player 1 wins if player 2 has an 88.29% chance of winning with the choice of R RB?,0
392, what is the nfl team where player is thane gash,0
393,what is the maximum pick # where player is anthony blaylock,1
394, what's the nfl team where player is clifford charlton,0
395, what's the position where player is anthony blaylock,0
396,what is the minimum pick # where position is defensive tackle,2
397,Which province has a density of 971.4?,0
398,What is Friesland's gdp per capita?,2
399,What is the area of the place that has a population density of 331.4?,1
400,Which province has a gdp of 38355€  million euros?,0
401,What is the population estimate for the place that gad a 18496€  million euro gdp?,0
402,"What is the title when original air date is may15,2008?",0
403,What is the highest no. in season?,1
404,Who directed the episode where u.s. viewers (million) is 12.90?,0
405,"How many episodes aired in Region 2 beginning May 26, 2008?",2
406,What date did the DVD for season six come out in region 2?,0
407,What is the least amount of season epidsodes?,2
408,"What DVD season/name for region 2 was released August 22, 2010?",0
409,How many points for 2005?,3
410,what is the score for the dams?,0
411,how many positions in 2009?,3
412,what is the least number of poles?,2
413,Which series with 62 points?,0
414,What is the total for 10th position?,3
415,how many reports of races took place on october 16?,3
416,what is the name of the report that lists the race name as long beach grand prix?,0
417,what is the report called where the circuit took place at the nazareth speedway?,0
418,what is the name of the race where newman/haas racing is the winning team and rick mears is at the pole position?,0
419,meadowlands sports complex is the circuit at which city/location?,0
420,What is the literacy rate for groups that grew 103.1% between 1991 and 2001?,0
421,What is the lowest sex ratio in rural areas?,2
422,What is the lowest child sex ratio in groups where employment is 31.3%?,2
423,What is the population percentage of the group where the rural sex ratio is 953?,0
424,"What is the original air date for the title ""felonious monk""?",0
425,What is the title of the episode directed by Peter Markle and written by Jerry Stahl?,0
426,"How many episodes were titled ""identity crisis""?",3
427,Who does the lap-by-lap in 2011?,0
428,Which network has Marty Reid as host and lap-by-lap broadcaster?,0
429,How many pre-race analysis occur when Allen Bestwick does the lap-by-lap?,3
430,What's the highest season number of an episode in the series?,1
431,"When did the episode titled ""Lucky Strike"" air for the first time?",0
432,"Who was the writer of the episode titled ""One Hit Wonder""?",0
433,What's the date of the first airing of the episode with series number 63?,0
434,How many titles got a viewership of 26.53 million?,3
435,How many viewers tuned into the show directed by Matt Earl Beesley?,0
436,Who wrote episode 94?,0
437,Which episode was the number in the season where the number in the season is 10?,0
438,"How many episodes were in the season that had the epiosde of ""crow's feet""?",0
439,When did the 113 episode air?,0
440,How many titles were there for the 113 episode?,3
441,What is the number in the season that Marlene Meyer wrote and 20.49 million people watched?,1
442,When did the no. 23 show originally air?,0
443,Which circuits had a race on October 4?,0
444,In which reports does Michael Andretti have the pole position and Galles-Kraco Racing is the winning team?,0
445,How many rounds were there of the Bosch Spark Plug Grand Prix?,3
446,Which rounds were held on August 9?,0
447,On how many dates did the Michigan International Speedway hold a round?,3
448,Name the total number of bids of the sun belt conference,3
449,Name the round of 32 in conference usa,0
450,What is the record when round of 32 is 0 and metro atlantic conference?,0
451,What is the number of bids with elite eight larger than 1.0,3
452,Who directed the episode with production code 7aff03?,0
453,What is the title of the episode wtih 10.34 million U.S viewers?,0
454,What place is the team that completed 6 races?,0
455,"how much did the british formula three called ""fortec motorsport"" score?",0
456,how many races were in 2009 with 0 wins?,0
457,What years did art grand prix compete?,0
458,What year had a score of 9?,0
459,what is the greatest number of wins by japanese formula three?,1
460,Who took test #4?,0
461,What episode aired on 18 April 2007?,2
462,Who had the challenge of night driving?,0
463,How many directors were there for the film Course Completed?,3
464,Who directed El Nido?,0
465,Who directed Dulcinea?,0
466,What are the slovenian names of the villages that had 65.9% of slovenes in 1951?,0
467,What are the slovenian names of the villages that had 16.7% of slovenes in 1991?,0
468,How many villages had 21.7% of slovenes in 1991?,3
469,what percent of slovenes did the village called čahorče in slovenian have in 1991?,0
470,What is the slovenian name for the village that in german is known as st.margarethen?,0
471,"For games on December 20, how many points did the scoring leaders get?",0
472,Who was the scoring leader and how many points did he get in games on December 23?,0
473,What is the pick # for the position de?,0
474,Which player went to college at Saint Mary's?,0
475,What is the position for the player with cfl team Winnipeg blue bombers?,0
476,Which player went to college at Laval?,0
477,What was the college for the player with the cfl team of Edmonton Eskimos (via calgary)?,0
478,What's the team of the player from St. Francis Xavier College?,0
479,What player is on the Montreal Alouettes CFl team?,0
480,What's the pick number of the player from Toronto Argonauts?,2
481,What's the pick number of the player whose position is CB?,0
482,What's the pick number of the player from New Mexico?,1
483,What player went to Ohio State College?,0
484,What is the minimum introduced value for the Departmental region?,2
485,What is the smallest introduced value?,2
486,Which CFL Teams drafted an OL in 2006?,0
487,Which college is aligned to the Saskatchewan Roughriders?,0
488,What Position did the Hamilton Tiger-Cats (via Ottawa) pick in the 2006 Draft.,0
489,What is the earliest pick listed in the table.,2
490,What episode number had production code e4423?,1
491,What's the latest episode in a season where the U.S. viewers totaled 14.37 million?,1
492,"Who directed the episode ""Escape""?",0
493,"How many seasons is the season finale on May 26, 2010?",3
494,"What episodes are there where the season premier is September 23, 2009?",0
495,What is the season finale for season 4?,0
496,How many season premiers have a rank of #21?,0
497,"What are the seasons where September 26, 2007 is the season premier?",0
498,What max processor has a maximum memory of 256 gb?,0
499,What is the max memory of the t5120 model?,0
500,What is the lowest ru?,2
501,"What ga date do the models with 1.0, 1.2, 1.4ghz processor frequencies have?",0
502,What is the ga date of the t5120 model?,0
503,What is the sport of the La Liga league?,0
504,What's the minimum total attendance of the Premier League association football?,2
505,What's the average attendance of the leagues in the season of 2013?,2
506,What's the total attendance of the leagues in season of 2010?,3
507,Who were the directors of the film submitted with the title Young Törless?,0
508,What was the original title of the film submitted with the title A Woman in Flames?,0
509,In what years was a film submitted with the title The Enigma of Kaspar Hauser?,0
510,Who were the directors of the film with the original title o.k.?,0
511,What is the division for the division semifinals playoffs?,0
512,"What is the number in series of ""say uncle""?",0
513,What is the title written by David Mamet?,0
514,What was the finale for 潮爆大狀,0
515,What was the finale for  潮爆大狀,0
516,How many viewers were there for the premier with 34,0
517,How many are listed under 潮爆大狀,3
518,Who was the director of the episode with a production code of 2393059?,0
519,"How many people wrote ""Michael's Game""?",3
520,"When did the episode title ""Duet For One"" air?",0
521,Which episode had 16.38 million U.S. viewers?,0
522,"What is the production code of the episode written by José Molina that aired on October 12, 2004?",0
523,"What was the original air date of the episode ""Quarry""?",0
524,Which episode was directed by Jean de Segonzac?,0
525,what are the original air dates with a production code of 2394087,0
526,"Who are the writers for the title ""boxing sydney""",0
527,"What are the production codes for the title ""all about brooke""",0
528,Who are the writer(s) for the production code 2394084,0
529,What's the total number of episodes with the production code 2395113A?,3
530,"What's the number of the episode called ""Melrose Unglued""?",1
531,Who's the writer for the episode with a production code 2395114?,0
532,"Who directed the episode titled ""Full Metal Betsy""?",0
533,What's the number of the episode with production code 2395118?,0
534,Who was the writer for the episode with production code 2395096?,0
535,What generation of spectrograph is most likely to detect a planet with a radial velocity of 0.089 m/s?,0
536,How long is the orbital period for the planet that has a semimajor axis of 5.20 au?,0
537,What generation of spectrograph is Jupiter detected by?,0
538,Which planet has an orbital period of 11.86 years?,0
539,who directed the production code 2398204,0
540,"when did ""unpleasantville"" air?",0
541,What is player Alexis Bwenge's pick number?,0
542,What player is pick #2?,0
543,Which player's college is Saskatchewan?,0
544,What is McMaster College's pick number?,2
545,give the least number of times an episode was shown from 1997-1998,2
546,"when was the episode named ""the doctor is in... deep"" first broadcast ",0
547,"how many times does the episode called ""coop de grace"" appear ",3
548,what is season 6 sum of both the number of times processing ID 2397162 was assigned and the number of times chip chalmers managed an episode ,1
549,Which player went to Michigan State?,0
550,Which player went to college in Oklahoma?,0
551,Which position does Colt Brennan play?,0
552,What is the height of the person that weighs 320 pounds?,0
553,How many colleges have a DB position?,3
554,What is the maximum number of picks for the CFL team Calgary Stampeders?,1
555,How many CFL teams are from York college?,3
556,What CFL teams are part of Simon Fraser college?,0
557,Which players have a pick number of 27?,0
558,How many times were players named brett ralph were selected?,3
559,What schools did lenard semajuste play for?,0
560,What is the highest selection number for the saskatchewan roughriders team?,1
561,How many fb players were drafted?,3
562,How many players played for adams state school?,3
563,What teams drafted players that played for northwood school?,0
564,What college did Craig Zimmer go to?,0
565,What is the pick number of regina?,0
566,What is the player who is lb and cfl team is saskatchewan roughriders?,0
567,What is the cfl team that has a position of ol?,0
568,What is the number of position where the pick number is 43?,3
569,What is the cfl team with ryan folk?,0
570,What release date is when kids-270 is a reference? ,0
571,what is the title where romaji is titles da.i.su.ki,0
572,what are the title in japanese where the reference is kids-430?,0
573,who is the reference when romaji title is heartbreak sniper?,0
574,What rank is 愛のバカ on the Japanese singles chart?,3
575,How many songs have mi-chemin as their Japanese name and romanji name?,3
576,What was the  partial thromboplastin time for factor x deficiency as seen in amyloid purpura,0
577,How many conditions have an unaffected prothrombin time and a prolonged bleeding time,3
