,Questions,Category1,type
65,Which city has the oldest relationship as a sisterðcity with Los Angeles ?,LOC,1
66,What is a caldera ?,DESC,1
67,Why do people get calluses ?,DESC,1
68,What are the names of the tourist attractions in Reims ?,LOC,1
69,What are Cushman and Wakefield known for ?,DESC,1
70,What body of water does the Danube River flow into ?,LOC,1
71,Who is the founder of Scientology ?,HUM,1
72,What does the six-footed Musca domestica become when it enters a house ?,ENTY,1
73,What is the history of skateboarding ?,DESC,1
74,Who starred in Singing in the Rain and The Singing Nun ?,HUM,1
75,How do I make fuel bricks from recycled newspaper ?,DESC,1
76,What 19th-century painter died in the Marquesas Islands ?,HUM,1
77,The corpus callosum is in what part of the body ?,ENTY,1
78,How do I log on to home page at Headquarters U.S. European Command ?,DESC,1
79,"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .",LOC,1
80,What is Nebraska 's most valuable resource ?,ENTY,1
81,How many species of the Great White shark are there ?,NUM,0
82,What is the origin of head lice ?,DESC,1
83,What is the nickname for the state of Mississippi ?,LOC,1
84,What was the first domesticated bird ?,ENTY,1
85,How many villi are found in the small intestine ?,NUM,0
86,What country did King Wenceslas rule ?,LOC,1
87,What is a fear of shadows ?,ENTY,1
88,Who were the five Marx brothers ?,HUM,1
89,In which year was New Zealand excluded from the ANZUS alliance ?,DESC,0
90,When did CNN begin broadcasting ?,DESC,0
91,What causes the body to shiver in cold temperatures ?,DESC,1
92,What are bear and bull markets ?,DESC,1
93,What J.R.R. Tolkien book features Bilbo Baggins as the central character ?,ENTY,1
94,What is `` dew point '' ?,DESC,1
95,What is the meaning of Jesus ?,DESC,1
96,What company 's logo is a `` W '' in a circle ?,HUM,1
97,What is the definition of a cascade ?,DESC,1
98,When did Rococo painting and architecture flourish ?,DESC,0
99,What country 's national passenger rail system is called Via ?,LOC,1
100,Who invented Make-up ?,HUM,1
101,What is the origin of the word `` attic '' ?,DESC,1
102,What did Delilah do to Samson 's hair ?,DESC,1
103,What kind of animals were in the Paleozoic era ?,ENTY,1
104,Which of the following was Rhodes Scholar ?,HUM,1
105,Who comprised the now-defunct comic book team known as the Champions ?,HUM,1
106,How do you make a paintball ?,DESC,1
107,What U.S. state is Fort Knox in ?,LOC,1
108,What is a female rabbit called ?,ENTY,1
109,Where is the highest point in Japan ?,LOC,1
110,Where do chihuahuas come from ?,DESC,1
111,Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?,LOC,1
112,What are the world 's four oceans ?,LOC,1
113,What 's the only work by Michelangelo that bears his signature ?,ENTY,1
114,What is the largest snake in the world ?,ENTY,1
115,In what medium is Stuart Hamblen considered to be the first singing cowboy ?,ENTY,1
116,Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?,LOC,1
117,How much money does a back injury lawsuit get ?,NUM,0
118,What 's the common name for acetylsalicylic acid ?,ENTY,1
119,What does the Georgetown `` Hoya '' mean ?,DESC,1
120,Where can I find a list of `` classic '' books 5th and 6th graders should read ?,LOC,1
121,Which two products use a tiger as their symbol ?,ENTY,1
122,How is the election of a new Pope announced to the world ?,DESC,1
123,How long does it take for your blood to make one complete trip through the body ?,NUM,0
124,How do chickens have baby chicks ?,DESC,1
125,What is the historical relationship of Catholic Church and bingo ?,DESC,1
126,How was the element calcium named ?,DESC,1
127,What crooner joined The Andrews Sisters for Pistol Packin Mama ?,HUM,1
128,What piano company claims its product is the `` Instrument of the immortals '' ?,HUM,1
129,When did the Bounty mutiny take place ?,DESC,0
130,What novel inspired the movie BladeRunner ?,ENTY,1
131,What is a transistor ?,DESC,1
132,What is a film starring Jude Law ?,ENTY,1
133,What Hollywood dog died in the arms of Jean Harlow in 1932 ?,ENTY,1
134,What are the most common elements in the Earth 's crust ?,ENTY,1
135,"How much would it cost to purchase a 2-foot-square party tent , with sides , ?",NUM,0
136,What actress has received the most Oscar nominations ?,HUM,1
137,What are equity securities ?,DESC,1
138,What is gymnophobia ?,DESC,1
139,How many years do fossils take to form ?,NUM,0
140,Where is the Orinoco ?,LOC,1
141,What was the name of the `` Little Rascals '' dog ?,ENTY,1
142,"What city boasts Penn 's Landing , on the banks of the Delaware river ?",LOC,1
143,What Broadway musical was inspired by Cervantes 's Don Quixote ?,ENTY,1
144,"What is the origin of the word , JJ .",DESC,1
145,How many hostages were killed in the Entebbe raid ?,NUM,0
146,How you can raise your IQ ?,DESC,1
147,What does INRI stand for when used on Jesus ' cross ?,ABBR,1
148,Who produces Spumante ?,HUM,1
149,Who earns their money the hard way ?,HUM,1
150,Who founded the People 's Temple Commune ?,HUM,1
151,What athlete makes the most money from sports merchandise sales ?,HUM,1
152,How many bends are there in a standard paper clip ?,NUM,0
153,Who discovered electricity ?,HUM,1
154,What part of your body contains the corpus callosum ?,ENTY,1
155,Who was the first American in space ?,HUM,1
156,What two South American countries do n't border Brazil ?,LOC,1
157,What album put The Beatles on the cover of Time in 1967 ?,ENTY,1
158,"What poem contains the line , `` grow old with me the best is yet to be '' .",ENTY,1
159,What is a dental root canal ?,DESC,1
160,What war did the Wanna-Go-Home Riots occur after ?,ENTY,1
161,What is the busiest air travel season ?,DESC,0
162,What 's the colored part of the eye called ?,ENTY,1
163,What are hook worms ?,DESC,1
164,Where is the Rose Bowl played ?,LOC,1
165,Which Japanese car maker had its biggest percentage of sale in the domestic market ?,HUM,1
166,Who is the mayor of Marbella ?,HUM,1
167,"What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?",LOC,1
168,In what year did Thatcher become prime minister ?,DESC,0
169,How many months does it take the moon to revolve around the Earth ?,NUM,0
170,Where are the 49 steps ?,LOC,1
171,In what year was De Gaulle elected president of France ?,NUM,0
172,Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?,HUM,1
173,Who directed `` Jaws '' ?,HUM,1
174,On what T.V. show could Tom Terrific be found ?,ENTY,1
175,What Indian tribe is F Troop perpetually doing battle with ?,HUM,1
176,Where did Indian Pudding come from ?,DESC,1
177,Why do some clothing labels say `` Use a nonchlorine bleach '' ?,DESC,1
178,How many colonies were involved in the American Revolution ?,NUM,0
179,What is the name of the city that Maurizio Pellegrin lives in ?,LOC,1
180,Where can I find pictorial directions on how to build a very simple treehouse ?,LOC,1
181,"What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?",ENTY,1
182,What is the name of the managing director of Apricot Computer ?,HUM,1
183,What is the occupation of Nicholas Cage ?,HUM,1
184,Why do horseshoes bring luck ?,DESC,1
185,"What is the 401 , K , plan ?",DESC,1
186,What causes pneumonia ?,DESC,1
187,What are the three winter months in the southern hemisphere ?,NUM,0
188,What does gringo mean ?,DESC,1
189,What country contains Africa 's northernmost point ?,LOC,1
190,What therapy attempts to elicit the `` primal scream '' ?,ENTY,1
191,Where is the Kalahari desert ?,LOC,1
192,Which Ventura County police department seized the largest cocaine shipment in it 's history ?,HUM,1
193,What city is sometimes called Gotham ?,LOC,1
194,What dangles over the tongue from the palate ?,ENTY,1
195,Who created Dennis the Menace ?,HUM,1
196,What dummy received an honorary degree from Northwestern University ?,HUM,1
197,When was the first Wall Street Journal published ?,NUM,0
198,What countries have the largest areas of forest ?,LOC,1
199,How do I start a web based business ?,DESC,1
200,Name Alvin 's brothers,HUM,1
201,What is Eagle 's syndrome styloid process ?,DESC,1
202,How did Jayne Mansfield die ?,DESC,1
203,When did the royal wedding of Prince Andrew and Fergie take place ?,NUM,0
204,What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?,HUM,1
205,What explorer was nicknamed Iberia 's Pilot ?,HUM,1
206,CNN began broadcasting in what year ?,NUM,0
207,What is a ball that hits the foul pole called ?,ENTY,1
208,What makes hamburgers taste like steakburgers ?,DESC,1
209,Which company created the Internet browser Mosaic ?,HUM,1
210,What are the rites accompanying the circumcision of a newly born-child in Judaism called ?,ENTY,1
211,What was the education system in the 1960 's ?,ENTY,1
212,What South American city has the world 's highest commercial landing field ?,LOC,1
213,How can I find out which cities have cable-modem access ?,DESC,1
214,What is Betsy Ross famous for ?,DESC,1
215,How many species of sharks are there ?,NUM,0
216,What is `` snoogans '' ?,DESC,1
217,How many people are there in the world ?,NUM,0
218,What shrubs can be planted that will be safe from deer ?,ENTY,1
219,What organization 's offices were broken into at Watergate in 1972 ?,HUM,1
220,What is the design of the ship Titanic ?,DESC,1
221,What does S.O.S. stand for ?,ABBR,1
222,Name a technique widely used to detect birth defects ?,ENTY,1
223,What is the daily requirement of folic acid for an expectant mother ?,DESC,1
224,What is the `` 7-minute cigarette '' ?,DESC,1
225,What four forms does gold occur in ?,ENTY,1
226,What is the acreage of the Chappellet vineyard ?,NUM,0
227,How do you correctly say the word ` qigong ' ?,DESC,1
228,When did beethoven die ?,NUM,0
229,How much does a new railroad coal car cost ?,NUM,0
230,What two European countries entered the War of American Independence against the British ?,LOC,1
231,What is the filmmakers collabrative ?,DESC,1
232,What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?,HUM,1
233,What caused Harry Houdini 's death ?,DESC,1
234,"Who was the mother of the man who would not be king , the duke of Windsor ?",HUM,1
235,How many revolutions does a standard LP make in three minutes ?,NUM,0
236,What is the name of the tallest mountain in the world ?,LOC,1
237,Where can I find a review of Nightmare on Elm Street in a film journal ?,LOC,1
238,What 's the slowest Olympic swimming stroke ?,ENTY,1
239,What was the name of the first Russian astronaut to do a spacewalk ?,HUM,1
240,What disease is transmitted by the Anopheles mosquito ?,ENTY,1
241,What rum is so `` mixable '' it is a one-brand bar ?,ENTY,1
242,How many South American countries have the letter Z in their names ?,NUM,0
243,What is the contents of proposition 98 ?,DESC,1
244,Where was George Washington born ?,LOC,1
245,"How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD .",NUM,0
246,Who wrote NN DT NNP NNP '' ?,HUM,1
247,What is paracetamol ?,DESC,1
248,What are the powers and weaknesses of Green Lantern 's ring ?,DESC,1
249,"Which mosquito 's bite draws blood , DT NN CC DT NN .",ENTY,1
250,When was the first steel mill in the United States built ?,NUM,0
251,What diminutive American female gymnast stole the show at the 1984 Olympics ?,HUM,1
252,What is the origin of the name Katie ?,DESC,1
253,"What schools in the Washington , DC NN NN VBP NN NN NN NN .",HUM,1
254,When did the Berlin Wall go up ?,NUM,0
255,Who is Terrence Malick ?,HUM,1
256,What instrument is Ray Charles best known for playing ?,ENTY,1
257,"What 's the meaning of the Latin battle cry : Ad arma , ad arma .",DESC,1
258,What is the mascot for Notre Dame University ?,ENTY,1
259,"What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?",LOC,1
260,When did Mount St. Helen last have a significant eruption ?,NUM,0
261,CNN is the abbreviation for what ?,ABBR,1
262,When did World War I start ?,NUM,0
263,How many feet are there in a fathom ?,NUM,0
264,What is a Canada two-penny black ?,DESC,1
265,What European city do Nicois live in ?,LOC,1
266,How can I find out what year a Beanie Baby was introduced ?,DESC,1
267,What is the classic definition of tragic hero ?,DESC,1
268,To what does Microsoft 's Windows 3 owe its success ?,ENTY,1
269,Who was President of Afghanistan in 1994 ?,HUM,1
270,"What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?",ENTY,1
271,What did brontosauruses eat ?,ENTY,1
272,What color bottles do good Rhine wines come in ?,ENTY,1
273,Who was the lead actress in the movie ` Sleepless in Seattle ' ?,HUM,1
274,Who was the 16th President of the United States ?,HUM,1
275,Who are the two sons of Ozzie and Harriet Nelson ?,HUM,1
276,What is molybdenum ?,DESC,1
277,When is Boxing Day ?,NUM,0
278,What is the lowest level of the American judiciary ?,ENTY,1
279,When was the battle of the Somme fought ?,NUM,0
280,How many people did Randy Craft kill ?,NUM,0
281,What 's the official animal of Canada ?,ENTY,1
282,When did Spielberg direct `` Jaws '' ?,NUM,0
283,What is the size of the largest akita ?,NUM,0
284,What animal has the biggest eyes ?,ENTY,1
285,What is California 's capital ?,LOC,1
286,Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?,HUM,1
287,Who was the founding member of the Pink Floyd band ?,HUM,1
288,What European country is home to the beer-producing city of Budweis ?,LOC,1
289,How do I find the balance of my social security account ?,DESC,1
290,What is the history of Valentine 's Day cards ?,DESC,1
291,Where was Christopher Columbus born ?,LOC,1
292,What do Italians call Florence ?,ENTY,1
293,How do you get to the top of the Eiffel Tower ?,DESC,1
294,What does ` PSI ' stand for ?,ABBR,1
295,What sea did the Romans call mare nostrum ?,LOC,1
296,What 's the term for a bet before cards are dealt ?,ENTY,1
297,"Which came first , according to Genesis 1 : 2 : 22 - the chicken or the egg ?",ENTY,1
298,What city did the Flintstones live in ?,LOC,1
299,What is Latin for incompetent ?,ENTY,1
300,What chemicals are used in lethal injection ?,ENTY,1
301,What toy company is the world 's No.1 maker of female apparel ?,HUM,1
302,What board game does a `` wood-pusher '' play poorly ?,ENTY,1
303,Which Doonesbury character was likely to turn into a werewolf ?,HUM,1
304,What is the abbreviation for micro ?,ABBR,1
305,What are the 7 articles of the constitution ?,ENTY,1
306,Who has won the most Super Bowls ?,HUM,1
307,What does NASDAQ stand for ?,ABBR,1
308,What is BPH ?,ABBR,1
309,What is the fastest commercial automobile that can be bought in the US ?,ENTY,1
310,What stadium do the Miami Dolphins play their home games in ?,LOC,1
311,Who has the only speaking role in `` Silent Movie '' ?,HUM,1
312,Why is poop sometimes different colors ?,DESC,1
313,What was Einstein 's IQ ?,NUM,0
314,What day was Pearl Harbor attacked in 1942 ?,NUM,0
315,What girl 's name is `` Teddy '' an affectionate form of ?,HUM,1
316,What state is John F. Kennedy buried in ?,LOC,1
317,What is the best way to remove wallpaper ?,ENTY,1
318,What U.S. state has an element named for it ?,LOC,1
319,What company tabulates the ballots in voting for the Academy Awards ?,HUM,1
320,How did the tradition of best man start ?,DESC,1
321,How many years ago did the ship Titanic sink ?,NUM,0
322,What is the deepest area of the Arctic Ocean ?,LOC,1
323,What are Halloween 's colors ?,ENTY,1
324,How is silk screening done ?,DESC,1
325,"What is the latitude and longitude of El Paso , Texas ?",NUM,0
326,Who made a boat out of gopher wood ?,HUM,1
327,Where can I find a `` Fifth Element '' screensaver ?,LOC,1
328,Which Bloom County resident wreaks havoc with a computer ?,HUM,1
329,How do you match a name to a social security number ?,DESC,1
330,How does a rainbow form ?,DESC,1
331,What is the normal resting heart rate of a healthy adult ?,NUM,0
332,What is the population of Ohio ?,NUM,0
333,How many calories are there in a Big Mac ?,NUM,0
334,Hazmat stands for what ?,DESC,1
335,What creature scares people in the film `` Jaws '' ?,ENTY,1
336,What part did John Peter Zenger play in the deveopment of the newspaper in America ?,HUM,1
337,Who followed Caesar ?,HUM,1
338,What are the four elements ?,ENTY,1
339,Who was the first woman golfer to earn a million ?,HUM,1
340,What 's the tallest piece on a chessboard ?,ENTY,1
341,What is Answers.com 's address ?,LOC,1
342,Where can I buy movies on videotape online ?,LOC,1
343,Who does the advertizing for Frito-Lay ?,HUM,1
344,Who is the leading competitor of Trans Union Company ?,HUM,1
345,What product did Robert Conrad dare people to knock off his shoulder ?,ENTY,1
346,Who invented the radio ?,HUM,1
347,What 's the American dollar equivalent for 8 pounds in the U.K. ?,NUM,0
348,What are the different approaches of systems analysis ?,ENTY,1
349,How do doctors diagnose bone cancer ?,DESC,1
350,Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?,HUM,1
351,What is the speed of the Mississippi River ?,NUM,0
352,What are the developmental stages of a swimmer ?,ENTY,1
353,What actor first portrayed James Bond ?,HUM,1
354,What ocean is the largest in the world ?,LOC,1
355,"Who was the first American poet to win the Nobel Prize for literature , in 1948 ?",HUM,1
356,What year did Jack Nicklaus join the Professional Golfers Association tour ?,NUM,0
357,How many sonnets did Shakespeare write ?,NUM,0
358,What causes the redness in your cheeks when you blush ?,DESC,1
359,Who won the Nobel Peace Prize in 1991 ?,HUM,1
360,Who are the Challengers of the Unknown ?,HUM,1
361,Define the Pheonix Club ?,DESC,1
362,Which city did Christian Crusaders fight to recapture from the Muslims ?,LOC,1
363,What does it mean `` Rupee Depreciates '' ?,DESC,1
364,What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ?,ENTY,1
365,Who was the first coach of the Cleveland Browns ?,HUM,1
366,How successful is arometherapy ?,DESC,1
367,What Jewish holiday saw the start of the 1973 Mideast War ?,ENTY,1
368,How does a copier work ?,DESC,1
369,What is the speed of the Mississippi River ?,NUM,0
370,Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?,HUM,1
371,What is Dudley Do-Right 's horse 's name ?,ENTY,1
372,Who declared : `` I am down on whores and I shan 't stop ripping them '' ?,HUM,1
373,Where does chocolate come from ?,LOC,1
374,What TV game show once saw a contestant admit to picking his toes in the shower ?,ENTY,1
375,What Soviet leader owned a Rolls-Royce ?,HUM,1
376,Where can I find a case on Individuals with Disabilities Education Act of 1991 ?,LOC,1
377,What war did Florence Nightingale tend the troops in ?,ENTY,1
378,"Who wrote the song , `` Stardust '' ?",HUM,1
379,How many Beatles ' records went #1 ?,NUM,0
380,Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?,HUM,1
381,What is the abbreviation of the company name ` General Motors ' ?,ABBR,1
382,What mountains lie between the Arkansas and Missouri rivers ?,LOC,1
383,Who received the Will Rogers Award in 1989 ?,HUM,1
384,What is the function of RAM ?,DESC,1
385,What 's the closest G2 Spectrum Yellow Dwarf to Earth ?,LOC,1
386,How many equal angles are there in an isosceles triangle ?,NUM,0
387,What is the fear of cockroaches called ?,ENTY,1
388,What CBS soap opera was interrupted by the bulletin of John F. Kennedy 's assassination ?,ENTY,1
389,What is the use of a 24-hour clock instead of a 12-hour clock ?,DESC,1
390,What was the name of the lawyer who represented Randy Craft ?,HUM,1
391,What United States President had dreamed that he was assassinated ?,HUM,1
392,What film did Lee Marvin win the 1965 best actor Oscar for ?,ENTY,1
393,Where is Basque country located ?,LOC,1
394,What product does `` Mrs. Olsen '' promote ?,ENTY,1
395,What time of day did Emperor Hirohito die ?,NUM,0
396,What is dry ice ?,DESC,1
397,What 's the most powerful card in Euchre ?,ENTY,1
398,What does `` intractable plantar keratoma '' mean ?,DESC,1
399,How many years did it take James Joyce to write Ulysses ?,NUM,0
400,What crop failure caused the Irish Famine ?,ENTY,1
401,What South Korean city is served by Kimpo International Airport ?,LOC,1
402,How many types of dogs ' tails are there - three,NUM,0
403,What is the longest-running television series ?,ENTY,1
404,What predators exist on Antarctica ?,ENTY,1
405,What is the difference between a generator and an alternator ?,DESC,1
406,How is energy created ?,DESC,1
407,What beer advertised that it had `` three rings '' ?,ENTY,1
408,What is the quantity of American soldiers still unaccounted for from the Vietnam war ?,NUM,0
409,What golfing accessory was patented by George Grant on December 12,ENTY,1
410,What are the different types of plastic ?,ENTY,1
411,How is it correct to say ` qigong ' ?,DESC,1
412,What was the highest mountain on earth before Mount Everest was discovered ?,LOC,1
413,"Where was the Ligurian Republic , 1797-185 , ?",LOC,1
414,What country 's people are the top television watchers ?,LOC,1
415,When was the women 's suffrage amendment ratified ?,NUM,0
416,What Polynesian people inhabit New Zealand ?,HUM,1
417,What movie tour of the Roman empire features the admonition : `` Row well and live '' ?,ENTY,1
418,What Nevada center has been dubbed The Biggest Little City in the World ?,LOC,1
419,"What President lived at 219 North Delaware Street , Independence , Missouri ?",HUM,1
420,Give a reason for American Indians oftentimes dropping out of school .,DESC,1
421,Where must a soccer goalie stand to be permitted to handle the ball ?,LOC,1
422,What is the difference between classical conditioning and operant conditioning ?,DESC,1
423,In what U.S. state was the first woman governor elected ?,LOC,1
424,What are some interesting facts and information about dogsledding ?,DESC,1
425,What year did Hitler die ?,NUM,0
426,What famous model was married to Billy Joel ?,HUM,1
427,What kind of animal is Babar ?,ENTY,1
428,What is Jane Goodall known for ?,DESC,1
429,What killed Bob Marley ?,ENTY,1
430,How much money are Dumbo 's ears insured for ?,NUM,0
431,Who danced into stardom with Fred Astaire in 1941 's You 'll Never Get Rich ?,HUM,1
432,Who is Stein Eriksen ?,HUM,1
433,What does the name Billie mean ?,DESC,1
434,Who is the fastest swimmer in the world ?,HUM,1
435,What is the highest peak in Africa ?,LOC,1
436,Where is Procter &amp; Gamble headquartered in the U.S. ?,LOC,1
437,What desert has been called The Garden of Allah ?,LOC,1
438,What do bicornate animals have two of ?,ENTY,1
439,What function does a community 's water tower serve ?,DESC,1
440,What is a fear of weakness ?,ENTY,1
441,How many miles is it to Ohio from North Carolina ?,NUM,0
442,How much snow equals an inch of rain ?,NUM,0
443,What does G.M.T. stand for ?,ABBR,1
444,What does Inuit and Eskimo mean ?,DESC,1
445,What song served as the closing theme of The Johnny Cash Show ?,ENTY,1
446,What field sport did dentist William Beers promote and write a standard book of rules for ?,ENTY,1
447,How do I tie dye clothes ?,DESC,1
448,When does the average teenager first have intercourse ?,NUM,0
449,Why doesn 't www.answers.com have any answers to my questions ?,DESC,1
450,What actor 's autobiography is titled All My Yesterdays ?,HUM,1
451,What Russian master spy lived in the U.S. under the name Emil Goldfus ?,HUM,1
452,Where 's the 19th hole on a golf course ?,LOC,1
453,What 's nature 's purpose for tornadoes ?,DESC,1
454,Who played the original Charlie 's Angels ?,HUM,1
455,Where can I find a person 's address from a telephone number ?,LOC,1
456,"What English word comes from the Old French covrefeu , meaning cover fire ?",ENTY,1
457,What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?,ENTY,1
458,Where did Sarge Steel get his metal hand ?,LOC,1
459,What makes popcorn pop ?,DESC,1
460,Who wrote The Night of the Iguana ?,HUM,1
461,Where does your hair grow the fastest ?,ENTY,1
462,What country did King Gustav V reign over from 197 to 195 ?,LOC,1
463,Who painted Mother and Child ?,HUM,1
464,What is the speed of the Mississippi River ?,NUM,0
465,In what area of the world was the Six Day War fought ?,LOC,1
466,What is the brightest star visible from Earth ?,LOC,1
467,What film marked Robert Redford 's directorial debut ?,ENTY,1
468,What was Mao 's second name ?,HUM,1
469,What film or films has Jude Law appeared in ?,ENTY,1
470,Where do hyenas live ?,LOC,1
471,Who is the `` Queen Mother '' ?,HUM,1
472,What 's the most commonly-spoken language in Belgium ?,ENTY,1
473,Who has more DNA - a man or a woman ?,HUM,1
474,What are Maid-Rites ?,DESC,1
475,"What children 's tale contains the line : `` Come , Cinderslut , and hold this skein of wool for me '' ?",ENTY,1
476,What level of government or governmental agency is responsible for dealing with racism ?,HUM,1
477,How many referees work a soccer game ?,NUM,0
478,What cocktail do you concoct with whisky and sweet vermouth ?,ENTY,1
479,How do you say `` fresh '' in Spanish ?,ENTY,1
480,What do bee hives do in cranberry bogs ?,DESC,1
481,What caused the Lynmouth floods ?,DESC,1
482,When is the Tulip Festival in Michigan ?,NUM,0
483,"Who came up with the name , El Nino ?",HUM,1
484,What movie did Madilyn Kahn star in with Gene Wilder ?,ENTY,1
485,What type of bridge is the Golden Gate Bridge ?,ENTY,1
486,What dictator has the nickname `` El Maximo '' ?,HUM,1
487,What stereo manufacturer is `` Slightly ahead of its time '' ?,HUM,1
488,What U.S. city is The Queen of the Pacific ?,LOC,1
489,What TV sitcom character had the maiden name Ethel Potter ?,HUM,1
490,What was the first Lifesaver flavor ?,ENTY,1
491,Who kept the most famous diary in the English language ?,HUM,1
492,Where can I find out the top 1 singles ?,LOC,1
493,How many degrees cooler is the inside of a cucumber than the air outside ?,NUM,0
494,What Spanish artist painted Crucifixion ?,HUM,1
495,What is the Jewish bible called ?,ENTY,1
496,Why is the grass green ?,DESC,1
497,What is a firewall ?,DESC,1
498,What spy novelist served as Moscow correspondent for Reuter and The Times of London ?,HUM,1
499,Which oil company almost picked a word that meant `` stalled car '' in Japanese as its new international name ?,HUM,1
500,How long does it take for Spider-Man 's web to evaporate ?,NUM,0
501,Who was Randy Steven Craft 's lawyer ?,HUM,1
502,What was known as the Spice Island ?,LOC,1
503,Who was the first host of Person to Person ?,HUM,1
504,Name the Ranger who was always after Yogi Bear .,HUM,1
505,"What deck of cards includes the Wheel of Fortune , the Lovers , and Death ?",ENTY,1
506,What does the Statue of Liberty wear on her feet ?,ENTY,1
507,Who is the superstar in rent-a-cars ?,HUM,1
