,Questions,Category1
92,What are bear and bull markets ?,desc
93,What J.R.R. Tolkien book features Bilbo Baggins as the central character ?,desc
94,What is `` dew point '' ?,desc
95,What is the meaning of Jesus ?,desc
96,What company 's logo is a `` W '' in a circle ?,desc
97,What is the definition of a cascade ?,desc
98,When did Rococo painting and architecture flourish ?,count
99,What country 's national passenger rail system is called Via ?,desc
100,Who invented Make-up ?,desc
101,What is the origin of the word `` attic '' ?,desc
102,What did Delilah do to Samson 's hair ?,desc
103,What kind of animals were in the Paleozoic era ?,desc
104,Which of the following was Rhodes Scholar ?,desc
105,Who comprised the now-defunct comic book team known as the Champions ?,desc
106,How do you make a paintball ?,desc
107,What U.S. state is Fort Knox in ?,desc
108,What is a female rabbit called ?,desc
109,Where is the highest point in Japan ?,desc
110,Where do chihuahuas come from ?,desc
111,Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?,desc
112,What are the world 's four oceans ?,desc
113,What 's the only work by Michelangelo that bears his signature ?,desc
114,What is the largest snake in the world ?,desc
115,In what medium is Stuart Hamblen considered to be the first singing cowboy ?,desc
116,Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?,desc
117,How much money does a back injury lawsuit get ?,count
118,What 's the common name for acetylsalicylic acid ?,desc
119,What does the Georgetown `` Hoya '' mean ?,desc
120,Where can I find a list of `` classic '' books 5th and 6th graders should read ?,desc
121,Which two products use a tiger as their symbol ?,desc
122,How is the election of a new Pope announced to the world ?,desc
123,How long does it take for your blood to make one complete trip through the body ?,count
124,How do chickens have baby chicks ?,desc
125,What is the historical relationship of Catholic Church and bingo ?,desc
126,How was the element calcium named ?,desc
127,What crooner joined The Andrews Sisters for Pistol Packin Mama ?,desc
128,What piano company claims its product is the `` Instrument of the immortals '' ?,desc
129,When did the Bounty mutiny take place ?,count
130,What novel inspired the movie BladeRunner ?,desc
131,What is a transistor ?,desc
132,What is a film starring Jude Law ?,desc
133,What Hollywood dog died in the arms of Jean Harlow in 1932 ?,desc
134,What are the most common elements in the Earth 's crust ?,desc
135,"How much would it cost to purchase a 2-foot-square party tent ,with sides ,?",count
136,What actress has received the most Oscar nominations ?,desc
137,What are equity securities ?,desc
138,What is gymnophobia ?,desc
139,How many years do fossils take to form ?,count
140,Where is the Orinoco ?,desc
141,What was the name of the `` Little Rascals '' dog ?,desc
142,"What city boasts Penn 's Landing ,on the banks of the Delaware river ?",desc
143,What Broadway musical was inspired by Cervantes 's Don Quixote ?,desc
144,"What is the origin of the word ,JJ .",desc
145,How many hostages were killed in the Entebbe raid ?,count
146,How you can raise your IQ ?,desc
147,What does INRI stand for when used on Jesus ' cross ?,desc
148,Who produces Spumante ?,desc
149,Who earns their money the hard way ?,desc
150,Who founded the People 's Temple Commune ?,desc
151,What athlete makes the most money from sports merchandise sales ?,desc
152,How many bends are there in a standard paper clip ?,count
153,Who discovered electricity ?,desc
154,What part of your body contains the corpus callosum ?,desc
155,Who was the first American in space ?,desc
156,What two South American countries do n't border Brazil ?,desc
157,What album put The Beatles on the cover of Time in 1967 ?,desc
158,"What poem contains the line ,`` grow old with me the best is yet to be '' .",desc
159,What is a dental root canal ?,desc
160,Find the highest gdp in past ten years,max
161,What is the lowest marks scored in this class,min
162,Find the mean value of age of these patients,avg
163,What is the height of the tallest mountain in the world,max
164,What is the average age of a person in Ernakulam,avg
165,What is highest number of times a hummingbird can flap its wings in a minute,max
166,What is the average age of the human population,avg
167,What is the maximum number of days a person can go without food,max
168,What is the age of the worlds smallest astronaut,min
169,What is the minimum age required to marry,min
170,Find the average time a tree will take to completely decompose,avg
171,What is the age of the youngest student in your class,min
172,Find the lowest gdp in the past ten years,min
173,Find the highest increase per year in gdp in the last 5 decades,max
174,What is the average length of a human tongue,avg
175,Find the average gdp of pakistan for the last decade,avg
176,Find the age of the youngest grandmaster,min
177,Show the account balance of the richest man,max
178,What is the average savings of a 40 yr old person,avg
179,Note the average life expectancy of a cat,avg
180,Find the average salary of private school teachers in Kerala,avg
181,Find the maximum temperature recorded at Kovalam,max
182,What is the average price of mobile phone servicing in Trivandrum,avg
183,Find the average number of students attending PCOM lab per week,avg
184,What is the average age a child exposed to Endosulfan has lived,avg
185,What is the cheapest course on Machine Learning available on Coursera,min
186,What is the average ping for Fortnite on BSNL connections,avg
187,What is the maximum number of swear words ever used in a videogame,max
188,What is the maximum length of a video on Youtube,max
189,What is the average number of profile views for Google employees on LinkedIn,avg
190,What is the average distance a 5kg weight is thrown by a McDonald’s employee,avg
191,What is the maximum height of a human to be ever recorded,max
192,What is the minimum distance between earth and sun,min
193,Note the minimum temperature recorded on earth,min
194,What is the maximum age of a living thing ever recorded,max
195,Find the minimum number of trees cut down in an year,min
196,What is the greatest distance of a man-made object from earth,max
197,Find the highest victim count by a serial killer,max
198,Note the minimum distance that can be seen by a normal human eye,min
199,What is the minimum distance for an echo to be heard,min
200,What is the average height of a man,avg
201,What is the highest salary in India,max
202,What is the highest internet speed in the world,max
203,What is the shortest time to run a mile,min
204,what is the length of the longest train in the world,max
205,how long can man live without oxygen,max
206,What is the average life expectancy of a wild langoor,avg
207,What is the highest account balance of all the accounts in punjab national bank,max
208,Find the mean value of all the number of grapes each student has,avg
209,What is the length of the most smallest cricket bat,min
210,What is the height of the tallest tower in aluva,max
211,What is the average height of all the towers in india,avg
212,What is the time taken for the quickest million subscribers on youtube,min
213,What is the average age at which boys mature,avg
214,What is the average age at which women achieve menopause,avg
215,What is the price of the cheapest iphone,min
216,What is the price of the costliest samsung phone,max
217,What is the the height of the tallest building in the world,max
218,What is the price of the most expensive Laptop,max
219,What is the minimum age for legal marriage in India,min
220,What is the mean age for legal marriage globally,avg
221,What is the length of the longest bridge in Kerala,max
222,What is the world’s fastest Internet speed in mbps,max
223,What is the mean weight of all the women between 30 and 40 years of age,avg
224,What is the mean height of all the male humans in the World,avg
225,What is minimum time taken by a car to go from 0-60 mph,min
226,What is the highest battery capacity in mAh,max
227,What is the average weight of all the men in India,avg
228,What is the max shear strength of mild steel,max
229,What is the least time taken by phelps to swim 200 metres,min
230,What is the weight of the heaviest piece of jewellery in this shop,max
232,What is the fastest speed in which a man can sprint,max
233,What is the age of the oldest woman in australia,max
234,What is the highest death toll recorded in a plane crash,max
235,What is the highest amount raised for any charity event in India,max
236,What is the average length of a cricket bat,avg
237,What was the lowest value of NIFTY in 2018,min
238,What is the average spending of Keralites on groceries in a month,avg
239,What is the average number of goals scored by ronaldo in a match,avg
240,What is the height of the shortest Mr.Olympia,min
241,What is the weight of the heaviest Mr. India,max
242,what is the least possible value of charge,min
243,what is the length of the largest crocodile ever found,max
244,what is the highest age a person has lived,max
245,what is the speed of world fastest car,max
246,What was the average value of sensex in 2019,avg
247,What is the average lifespan of dogs,avg
248,What is the average menstrual cycle for teenagers,avg
249,What is the average half-life of Uranium-238,avg
250,How long did the shortest war last,min
251,How long did the longest war last,max
252,What is the highest number of seasons for a tv series ever aired,max
253,what is the highest number of push ups done at a stretch ever recorded,max
254,What is the most push ups done in 30 seconds?,max
255,what is the average time for holding breath,avg
256,What is the maximum extra time given in a football match,max
257,What is the minimum extra time given in a football match,min
258,What is the average extra time given in a football match,avg
259,What is the fastest checkmate in international chess,min
260,What is the maximum g force experienced on a rollercoaster,max
261,What is the highest bounty placed on someone by the FBI,max
262,Which is the longest prime number currently made public,max
263,What is the length of the shortest mathematical proof published in terms of number of characters,min
264,What is the highest distance from which a person survived a fall?,max
265,What is the average number of injuries reported during a Juventus match,avg
266,What is the maximum number of Naruto clones to be seen on screen during season 3,max
267,What is the maximum time interval Chandler has spent without making a sarcastic comment on screen,max
268,What was the maximum number of oreo shake swiggy deliveries made on a day,max
269,What is the maximum no of goals scored by a team in a Champions League football match,max
270,Find the average number of sixes dhoni hits in a match,avg
271,What is the average tuition rates in kerala,avg
272,What is the highest salary you can get for teaching math,max
273,What is the average no of goal assists by Messi,avg
274,What is the maximum no of substitutes allowed in World Cup match,max
275,What is the minimum salary of a teacher,min
276,What is the maximum time taken to solve a math problem,max
277,What is the highest even number among  five digit numbers,max
278,What is the minimum height of a tree,min
279,What is the most money spent by a political party in an election campaign in India,max
280,What is the highest height of a person,max
281,What is the minimum length of a door,min
282,What is the average time taken to finish a novel,avg
283,What is the maximum length of a saree,max
284,What is the minimum length of a book,min
285,What is the most number of albums sold by a music artist,max
286,What is the maximum salary of a doctor,max
287,What is the average lifespan of RCC structures,avg
288,What is the maximum speed limit in a Formula I race,max
289,What is the average height of men in Afghanistan,avg
290,What is the average life expectancy of a golden retriever,avg
291,On an average how long does a German Shepherd dog live,avg
292,What is the average age difference between and indian husband and wife,avg
293,What is the mean GPA of all the students of CET,avg
294,What is the maximum runs a person can score off a ball in a cricket match,max
295,What is the highest mark scored in JEE ADVANCED 2019,max
296,What is the average death toll in Afghanistan,avg
297,What is the mean distance between the Earth and the moon,avg
298,What is the maximum number of days a cow can survive without food,max
299,What is the minimum age for drinking alcohol legally in Ireland,min
300,What is the maximum age till which you can work as a gov employee in Finland,max
301,What is the average age of a blue whale,avg
302,How much will it cost on an average to buy a house in mumbai,avg
303,What is the average cost of having a vacation in spain,avg
304,Find the rate of the costliest flight from USA to UK,max
305,What is the average time for complete meiosis,avg
306,What is the highest IQ ever recorded,max
307,What is the maximum point a player can score in a basketball match,max
308,What is the maximum no of players a player can dribble pass in a football match,max
309,What is the length of the longest tunnel,max
310,What is the most degrees earned by a single person,max
311,What is the highest denomination of currency ever recorded,max
312,What is the average runtime of movies in bollywood,avg
313,What is the longest time recorded by an astronaut in ISS,max
314,What is the longest gestation period recorded by an animal,max
315,What is the minimum age to become the president of India,min
316,Find the weight of the heaviest car from the table,max
317,How much high can a man jump,max
318,Longest time a man can stay underwater,max
319,What is the minimum age to become the prime minister of India,min
320,What is the maximum number of days in a month,max
321,What is the highest view count on youtube,max
322,What is the length of the longest film ever made,max
323,What is the shortest time taken for 100 push ups,min
324,What is the average monthly income in Brazil,avg
325,Which employee has taken the most number of leaves in april,max
326,Which fortune500company has the least number of employees,min
327,What is the average number of employees in a fortune500 company,avg
328,What is the average life expectancy of Keralites,avg
329,What is the highest number of civil cases recorded in a year in India,max
330,What is the average age of Prime ministers in India,avg
331,How much did the highest grossing game generate,max
332,What is the shortest time taken for solving rubik’s cube,min
333,What is the average lifespan of RBC,avg
334,What is the highest body temperature ever recorded,max
335,What is the average life span of coronavirus on metals,avg
336,What is the highest body fat percentage ever recorded,max
337,What is the average weight of male babies,avg
338,What is the most number of human babies in a single pregnancy,max
339,What is the maximum number of days a camel can survive without water,max
340,How long can a person survive with 10% oxygen in a standard cylinder,max
341,What is the average duration of a 20 over cricket match,avg
342,What is the youngest age of an olympic gold medalist,min
343,What is the length of the shortest NH in India,min
344,What is the highest number of hits the wikipedia website has received in a day,max
345,What is the average number of hits received by the wikipedia webpage per day,avg
346,Which state in india has the highest population,max
347,Which country in asia has the highest gdp,max
348,Search for the highest lifespan of mosquitoes in India,max
349,What is the maximum allowed age of a Supreme court judge,max
350,What is the average lifespan of a butterfly,avg
351,Find the mean age of expatriate males having stomach cancer,avg
352,What is the highest salary an average gardener can get?,max
353,What is the lowest value of Rupee vs Dollar recorded in 2019,min
354,What is the average thickness of lithosphere,avg
355,What is length of the smallest river in the world,min
356,What is the average spending of India on infrastructure,avg
357,What is the minimum width of a domestic stairway,min
358,What is the average IQ of males in India,avg
359,Which is the gender having most death rate in 2011,max
360,What is the highest casualty number recorded in WWII,max
361,What is the highest GDP recorded by India in a financial year,max
362,What is the average usage time of instagram per day,avg
363,What is the highest valuation ever recorded for a company,max
364,What is the average life expectancy of Turtles,avg
365,What is the average number of blinks per minute,avg
366,What is the average KEAM score in 2019,avg
367,What is the average lifespan of African Elephants,avg
368,What is the highest death rate in India in the last 5 years,max
369,Find the average age of death from COVID-19 in USA,avg
370,Find out the average battery life of iphones,avg
371,What is average income of people in India in FY 2019-20,avg
372,Which state has highest literacy rate in India as of last year,max
373,What is the highest budget for movies ever,max
374,What is the highest price of a laptop,max
375,What is the lowest price for iphone,min
376,Who has the highest iq in the world ever,max
377,Which country has the highest gdp in 2019,max
378,Which country has the highest population,max
379,Which state in india has the highest literacy rate,max
380,Find the district in kerala having most number of movie theatres,max
381,Which is the most expensive watch in the world,max
382,Who directed the highest grossing film in the world,max
383,Which country has the highest GDP in FY 2019-20,max
384,what is the least grossing marvel movie,min
385,Which book has the highest number of pages,max
386,Which is the longest movie ever made,max
387,What is the average number of hollywood movies released in a year,avg
388,Which country has the highest population density,max
389,Which is the tallest building in India,max
390,Which is the largest ocean,max
391,What is the maximum area of a country in Asia,max
392,What is the maximum area of a country in the world,max
393,What is the diameter of the largest planet in the solar system,max
394,What is the mean diameter of the planets in the solar system,avg
395,Which is the smallest state in USA,min
396,Which is the smallest state in India,min
397,Which is the largest state in USA,max
